Addresses,amount_DBI,tx_list_DBI,amount_LI,tx_list_LI,amount_SI,tx_list_SI,deposited_DBI,deposited_LI,deposited_SI
0x857a3e1dec3dafb87f49134bc80ea94eae6a9561,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x42f6d5f3c43db1d77def542e61f8f63ec3d618fb,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4aac181a9dc845e9e9d44afacb26abce23649081,0.0,,0.0,,0.0,,0.6861920882,0.0,0.0
0xf0fa10510966e3652377f4351802a13147875f31,0.0,,0.0,,0.0,,0.0,0.0,15594.7066710492
0x84036b9ad3bd7ae54d917edaeb110bcdc348caab,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xc90746d2e1f49acd1f3e215b3355fd696c4ef7af,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x8fb77a70ba91449b462e86092cde44c305221e2f,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xee74c8da8b0192360ebb8ef490e7facf0dea98ed,0.0,,0.0,,0.0,,0.296183508,0.0,174.6366160954
0x233502993a52501159077c30cae2f35be00d2315,0.0,,0.0,,0.0,,1.0631033978,0.0,0.0
0x8a0aff8236375eb2c0c02cd123db2f4108e54709,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x11b3d78cc247b25113a9c7aef45ccbe8eaf261f3,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa5934a3d4d85a19d571e27dce11cf03cbf83d414,0.0,,0.0,,0.0,,0.0,0.0,0.1427996892
0x420f334cd5142c1e212c1af5602386d87ba90c36,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x525044fcd3fba6cb3e81e46a2954bb7d33892010,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x00534a800b8ad72ccffcc17a11e7044874ad9e1d,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x56f0e9374109639716f246ef4533acbf419d3cd8,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xa55509eac7d28c7bfc5c3fbdab67617ac9625dd2,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xe3b4fad752e9594c3946e05fe87b29b5c6b65816,0.0,,0.0,,0.0,,0.0,0.0,0.1420951869
0x29e569807a1a6c6c5a4746d84bf342618925a749,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xada63c94f4e0ee49d24256fc331925abcd53e6d5,0.0,,0.0,,0.0,,0.0,0.0,0.0
0xfa958774e7eca9b38444d7685cb07c68776c0373,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x83162d0996a86b5d9e5e4d618fd39783dacaecc6,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x16dbede44d5a7e60ee502def9ada4be227939e5d,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4186f6984061fe0f3d8976f4ef0fd5c4349bb041,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4d1a87a3a051291f59086727cd683b2ddd835db8,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x4803e3104ec066c7d74747bd49e0b2c81480c259,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x2190cf9ed6890b1128f01d1976a5b851ee010315,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x6003b604d127fc932e95d48c40fa4fec52324f18,0.0,,0.0,,0.0,,0.0,0.0,0.0
0x82ba7508f7f1995ab1623258d66cb4e2b2b8f467,0.0,,0.0,,0.0,,0.0,0.0,0.0
